id,nombre,texto,nombre_en,texto_en
shared-rule.immune-to-psychology,Inmune a la Psicología,El Vampiro es inmune a la Psicología y nunca abandona el combate a causa de la Psicología.,Immune to Psychology,The Vampire is immune to Psychology and never leaves combat because of Psychology.
shared-rule.immune-to-psychology-3,Inmune a la Psicología,Los Lobos terrible son inmunes a la Psicología y nunca abandonan el combate a causa de la Psicología.,Immune to Psychology,Dire Wolves are immune to Psychology and never leave combat because of Psychology.
shared-rule.immune-to-psychology-4,Inmune a la Psicología,Todos los guerreros con la regla especial No muerto son inmunes a la Psicología y nunca abandonan el combate a causa de la Psicología.,Immune to Psychology,All warriors with the Undead special rule are immune to Psychology and never leave combat because of Psychology.
shared-rule.immune-to-psychology-5,Inmune a la Psicología,Un Zombi no se ve afectado por la psicología y nunca abandona el combate.,Immune to Psychology,A Zombie is not affected by psychology and never leaves combat.
shared-rule.immune-to-poison,Inmune al Veneno,El Vampiro es inmune al veneno.,Immune to Poison,The Vampire is immune to poison.
shared-rule.immune-to-poison-2,Inmune al Veneno,Los Lobos dire son inmunes al veneno.,Immune to Poison,Dire Wolves are immune to poison.
shared-rule.immune-to-poison-3,Inmune al Veneno,Los guerreros con la regla especial Muerto viviente no se ven afectados por el veneno.,Immune to Poison,Warriors with the Undead special rule are unaffected by poison.
shared-rule.immune-to-poison-4,Inmune al Veneno,Un Zombi no se ve afectado por el veneno.,Immune to Poison,A Zombie is not affected by poison.
shared-rule.leader,Líder,"Todos los modelos de la banda a 6"" de la Sacerdotisa pueden usar su Liderazgo en lugar del suyo propio.",Leader,"Any models in the warband within 6"" of the Priestess may use her Leadership instead of their own."
shared-rule.leader-2,Líder,"Cualquier guerrero a 6"" del Capitán puede usar su característica de Liderazgo cuando realice chequeos de Liderazgo.",Leader,"Any warrior within 6"" of the Captain may use his Leadership characteristic when taking Leadership tests."
shared-rule.leader-3,Líder,"Cualquier guerrero a 6"" del Jarl puede usar su Liderazgo en lugar del suyo propio cuando realice chequeos de Ld.",Leader,"Any warrior within 6"" of the Jarl may use his Leadership instead of his own when taking Ld tests."
shared-rule.leader-4,Líder,"Cualquier guerrero a 6"" del Caballero Andante puede usar su característica de Liderazgo cuando realice chequeos de Liderazgo.",Leader,"Any warrior within 6"" of the Questing Knight may use his Leadership characteristic when taking Leadership tests."
shared-rule.leader-5,Líder,"Cualquier guerrero a 6"" del Capitán cazador de brujas puede usar su Liderazgo al realizar chequeos de Liderazgo.",Leader,"Any warrior within 6"" of the Witch Hunter Captain may use his Leadership when taking Leadership tests."
shared-rule.fear,Miedo,El Vampiro causa Miedo.,Fear,The Vampire causes Fear.
shared-rule.fear-2,Miedo,El Ogro rata provoca Miedo.,Fear,The Rat Ogre causes Fear.
shared-rule.fear-5,Miedo,Los trolls son monstruos aterradores que causan miedo.,Fear,Trolls are frightening monsters which cause fear.
shared-rule.fear-7,Miedo,Los Wulfen son criaturas aterradoras de contemplar y causan miedo.,Fear,Wulfen are terrifying creatures to behold and cause fear.
shared-rule.may-not-run,No Pueden Correr,"Los Lobos dire no pueden correr, pero pueden cargar con normalidad.",May Not Run,"Dire Wolves may not run, but may charge normally."
shared-rule.may-not-run-2,No Pueden Correr,"Los guerreros con la regla especial No muerto no pueden correr, pero pueden cargar con normalidad.",May Not Run,"Warriors with the Undead special rule may not run, but may charge normally."
shared-rule.may-not-run-3,No Pueden Correr,Los Zombis son criaturas muertas vivientes lentas y no pueden correr (pero pueden cargar normalmente).,May Not Run,Zombies are slow undead creatures and may not run (but may charge normally).
shared-rule.large-target,Objetivo Grande,Los trolls son Objetivos Grandes tal como se define en las reglas de disparo.,Large Target,Trolls are Large Targets as defined in the shooting rules.
shared-rule.large-target-2,Objetivo Grande,El Ogro rata es un Objetivo Grande.,Large Target,The Rat Ogre is a Large Target.
shared-rule.no-pain,Sin Dolor,El Vampiro trata un resultado Aturdido de la tabla de Heridas como Derribado.,No Pain,The Vampire treats a Stunned result on the Injury chart as Knocked Down.
shared-rule.no-pain-2,Sin Dolor,Los Lobos dire tratan un resultado Aturdido de la tabla de Heridas como Derribado.,No Pain,Dire Wolves treat a Stunned result on the Injury chart as Knocked Down.
shared-rule.no-pain-3,Sin Dolor,Los Zombis tratan los resultados de Aturdido en la tabla de heridas como Derribado.,No Pain,Zombies treat stunned results on the injury chart as knocked down.
shared-rule.no-pain-4,Sin Dolor,Todos los guerreros con la regla especial Muerto viviente tratan un resultado de Aturdido como Derribado.,No Pain,All warriors with the Undead special rule treat a Stunned result as Knocked Down.
